% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV1764
% Time: 2022/03/07 16:22:13
% Demod 1 Sample R, /dev1764/demods/0/sample.R
% Demod 2 Sample R, /dev1764/demods/1/sample.R
% Frequency (Hz); Demod 1 Sample R  Amplitude (V); Demod 2 Sample R  Amplitude (V)
% Demod 1 Sample Phase, /dev1764/demods/0/sample.Theta
% Demod 2 Sample Phase, /dev1764/demods/1/sample.Theta
% Frequency (Hz); Demod 1 Sample Phase  Phase (deg); Demod 2 Sample Phase  Phase (deg)
1000; 0.0613564912761; 0.00146894336658
1037.433475629127; 0.0619145924706; 0.00153712248665
1076.268216355929; 0.0624449466289; 0.00160722503566
1116.556676403293; 0.0629498401308; 0.00168014125085
1158.353273537974; 0.0634320268512; 0.00175576800977
1201.714462572876; 0.0638865849644; 0.00183461149636
1246.698811620767; 0.0643214763262; 0.00191647524353
1293.367081202435; 0.0647314049398; 0.00200069454388
1341.78230631614; 0.0651200823023; 0.00208872147067
1392.009881579219; 0.0654892586398; 0.00217944419913
1444.117649556818; 0.0658372079452; 0.00227391122307
1498.175992397094; 0.0661648003189; 0.00237151670854
1554.257926896634; 0.0664737181559; 0.00247176901714
1612.439203124496; 0.0667626623736; 0.00257569693622
1672.798406738104; 0.0670352964927; 0.00268346436348
1735.417065129177; 0.0672938587576; 0.00279533698669
1800.379757543061; 0.0675381234715; 0.00291128441553
1867.774229320221; 0.0677631529978; 0.00303062431861
1937.691510414191; 0.0679765425241; 0.00315390731554
2010.226038346046; 0.0681743711638; 0.00328161689407
2085.47578576151; 0.0683615162668; 0.00341327867047
2163.542392762945; 0.0685338590743; 0.00354942095857
2244.531304195019; 0.0686952121533; 0.00369048191786
2328.551912069414; 0.0688450531475; 0.00383608086567
2415.717703321021; 0.0689858881372; 0.00398643267734
2506.146413095139; 0.0691136856469; 0.00414216581247
2599.96018377276; 0.0692327173481; 0.00430318022513
2697.285729948715; 0.0693441337486; 0.00446896392857
2798.254509585542; 0.06944616379; 0.00464121951143
2903.002901574204; 0.0695365642691; 0.00481867545134
3011.672389941567; 0.0696218139615; 0.00500282643514
3124.409754953359; 0.0697003981826; 0.00519304560586
3241.367271370812; 0.0697688687425; 0.00539057606733
3362.702914128717; 0.0698294857589; 0.00559490334945
3488.580571712748; 0.0698876514775; 0.00580668474875
3619.1702675242; 0.0699376525288; 0.00602617068011
3754.648389531227; 0.069982246645; 0.00625244169037
3895.197928516685; 0.0700176574866; 0.00648680567888
4041.00872524444; 0.0700484525985; 0.00672912801015
4192.277726877963; 0.0700731346065; 0.00697978970347
4349.209252997581; 0.0700934329992; 0.00723795456975
4512.015271575634; 0.070103689934; 0.00750431006719
4680.915685282409; 0.0701123111605; 0.00778045009261
4856.138628509426; 0.070113300272; 0.0080649438128
5037.920775511396; 0.0701073289788; 0.00836054162765
5226.507660082968; 0.0700977005356; 0.00866572481437
5422.154007202129; 0.070082022512; 0.0089813902152
5625.124077088097; 0.0700610280621; 0.00930745607714
5835.692022138589; 0.0700329660898; 0.00964306702325
6054.142257228405; 0.0700014047176; 0.00998785058672
6280.769843869632; 0.0699605326519; 0.0103434898541
6515.880888752274; 0.0699145486865; 0.0107109567598
6759.792957203676; 0.0698634661219; 0.0110915554677
7012.835502125096; 0.0698026759304; 0.0114833096511
7275.350308984972; 0.0697391732956; 0.01188758897
7547.691957469722; 0.0696626175179; 0.0123029604846
7830.228300415823; 0.0695852901501; 0.0127283908631
8123.34096066993; 0.0694974900347; 0.0131661427879
8427.425846548256; 0.0693999077013; 0.0136170065361
8742.893686591295; 0.0692956065666; 0.0140814419099
9070.170584336347; 0.069184232847; 0.0145583671605
9409.698593857127; 0.0690624605115; 0.0150467942631
9761.936316847707; 0.0689292233421; 0.0155459159849
10127.35952205751; 0.0687878490522; 0.0160581952463
10506.46178791386; 0.0686376397937; 0.0165839959122
10899.75516920007; 0.0684775653227; 0.0171224428014
11307.77088868977; 0.0683075927156; 0.0176734888497
11731.06005467128; 0.0681245888089; 0.018235812152
12170.19440533165; 0.0679303964191; 0.0188059395031
12625.76708100537; 0.0677281645029; 0.0193874878538
13098.39342533119; 0.0675084964483; 0.0199824910577
13588.71181639904; 0.0672817643819; 0.0205875881113
14097.38452900944; 0.0670433581924; 0.0211985327759
14625.09862921054; 0.0667881971244; 0.0218188476172
15172.56690232068; 0.0665252500578; 0.022448998622
15740.52881568999; 0.0662478150319; 0.0230872682805
16329.7515175017; 0.0659583935484; 0.0237300665898
16941.03087296176; 0.0656559405233; 0.0243775422417
17575.19253927706; 0.0653404112455; 0.0250284841305
18233.0930808733; 0.0650173659342; 0.0256828206684
18915.62112635977; 0.0646803142241; 0.0263442827202
19623.69856880316; 0.0643288285516; 0.027004860133
20358.28181093174; 0.0639681473617; 0.0276654311485
21120.3630569522; 0.0635947181866; 0.0283250150022
21910.97165272288; 0.063211807042; 0.028981793797
22731.17547609558; 0.0628243044911; 0.0296272144889
23582.08237930141; 0.0624240878912; 0.0302804957102
24464.84168533105; 0.0620133666822; 0.0309258777588
25380.64574032934; 0.0615973795221; 0.0315654910581
26330.73152410141; 0.061179773389; 0.032194773307
27316.38232090594; 0.0607510076468; 0.0328146519874
28338.92945279149; 0.0603179527167; 0.0334255285105
29399.75407781811; 0.059888653822; 0.0340212408338
30500.28905559244; 0.0594501310559; 0.0346094875351
31642.02088263622; 0.0590202203646; 0.0351776312915
32826.49170020277; 0.0585674638396; 0.0357388922821
34055.30137725198; 0.0581757667794; 0.036251162293
